City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-04-30 20:24:00,-33.9258,18.4232,57.2,77,0,10.36
1,Fortuna,US,2021-04-30 20:24:01,40.5982,-124.1573,66.0,82,1,16.11
2,Port Elizabeth,ZA,2021-04-30 20:24:01,-33.918,25.5701,59.0,67,40,13.8
3,Busselton,AU,2021-04-30 20:24:01,-33.65,115.3333,51.01,98,98,3.83
4,Ballina,AU,2021-04-30 20:24:02,-28.8667,153.5667,62.6,94,90,6.91
5,Albany,US,2021-04-30 20:21:00,42.6001,-73.9662,53.01,76,100,1.99
6,Tiksi,RU,2021-04-30 20:20:21,71.6872,128.8694,30.31,83,100,3.44
7,Saskylakh,RU,2021-04-30 20:21:06,71.9167,114.0833,30.97,87,100,9.22
8,Punta Arenas,CL,2021-04-30 20:19:49,-53.15,-70.9167,42.8,93,90,6.91
9,Qaanaaq,GL,2021-04-30 20:24:02,77.484,-69.3632,32.97,68,92,5.64
10,Port Alfred,ZA,2021-04-30 20:24:03,-33.5906,26.891,62.53,78,53,15.19
11,Andenes,NO,2021-04-30 20:23:02,69.3143,16.1194,28.4,86,75,12.66
12,Mpika,ZM,2021-04-30 20:19:09,-11.8343,31.4529,62.01,91,62,3.65
13,Hualmay,PE,2021-04-30 20:24:03,-11.0964,-77.6139,71.6,74,30,7.78
14,Husavik,IS,2021-04-30 20:24:03,66.0449,-17.3389,32.0,93,90,10.36
15,Hobart,AU,2021-04-30 20:20:13,-42.8794,147.3294,48.2,81,75,10.36
16,Newport,GB,2021-04-30 20:21:39,51.5877,-2.9984,45.0,78,85,4.59
17,Tuktoyaktuk,CA,2021-04-30 20:24:04,69.4541,-133.0374,19.4,79,20,10.36
18,Zhuzhou,CN,2021-04-30 20:24:04,27.8333,113.15,66.2,72,0,6.71
19,Nelson Bay,AU,2021-04-30 20:24:05,-32.7167,152.15,63.0,100,6,5.79
20,Hermanus,ZA,2021-04-30 20:24:05,-34.4187,19.2345,57.0,73,0,7.9
21,Mar Del Plata,AR,2021-04-30 20:20:32,-38.0023,-57.5575,70.0,60,0,11.5
22,Barrow,US,2021-04-30 20:24:05,71.2906,-156.7887,21.2,79,90,4.61
23,Ixtapa,MX,2021-04-30 20:21:18,20.7,-105.2,80.6,74,40,12.66
24,Hokitika,NZ,2021-04-30 20:24:06,-42.7167,170.9667,49.19,77,3,4.63
25,Aukra,NO,2021-04-30 20:24:06,62.7925,6.919,41.0,60,75,5.75
26,Ushuaia,AR,2021-04-30 20:24:06,-54.8,-68.3,41.0,81,75,4.61
27,Sao Gabriel Da Cachoeira,BR,2021-04-30 20:24:07,-0.1303,-67.0892,77.0,88,40,5.75
28,Bonavista,CA,2021-04-30 20:19:40,48.6499,-53.1147,50.0,62,100,6.91
29,Chuy,UY,2021-04-30 20:21:58,-33.6971,-53.4616,66.97,60,12,5.03
30,Avarua,CK,2021-04-30 20:24:07,-21.2078,-159.775,80.6,83,75,5.75
31,Houma,US,2021-04-30 20:24:07,29.5958,-90.7195,84.99,65,90,6.91
32,Rikitea,PF,2021-04-30 20:24:08,-23.1203,-134.9692,78.87,77,77,20.09
33,Pierre,US,2021-04-30 20:24:08,44.3683,-100.351,78.01,28,1,21.85
34,Bredasdorp,ZA,2021-04-30 20:24:08,-34.5322,20.0403,50.0,76,0,1.14
35,Asau,RO,2021-04-30 20:24:09,46.4333,26.4,57.99,50,100,5.3
36,Ponta Do Sol,PT,2021-04-30 20:24:09,32.6667,-17.1,59.0,53,89,5.01
37,Bengkulu,ID,2021-04-30 20:21:40,-3.8004,102.2655,74.98,91,92,3.8
38,The Valley,AI,2021-04-30 20:24:09,18.217,-63.0578,84.2,65,20,13.8
39,Beihai,CN,2021-04-30 20:24:10,21.4833,109.1,76.8,77,92,2.24
40,Krasnystaw,PL,2021-04-30 20:24:10,50.9846,23.1742,51.8,62,0,6.91
41,Bom Jesus,BR,2021-04-30 20:24:10,-9.0744,-44.3586,87.91,43,90,5.55
42,Donskoye,RU,2021-04-30 20:24:10,45.4552,41.9741,55.4,88,0,6.71
43,Saravan,AM,2021-04-30 20:24:11,39.7196,45.6483,66.2,59,75,16.11
44,Billings,US,2021-04-30 20:24:11,45.7833,-108.5007,84.99,16,40,13.8
45,Guerrero Negro,MX,2021-04-30 20:24:11,27.9769,-114.0611,85.59,26,0,12.15
46,Dingle,PH,2021-04-30 20:24:12,10.9995,122.6711,75.72,73,100,5.06
47,Kupang,ID,2021-04-30 20:24:12,-10.1667,123.5833,76.32,84,100,6.76
48,Pangnirtung,CA,2021-04-30 20:23:48,66.1451,-65.7125,33.8,86,20,6.91
49,Mataura,NZ,2021-04-30 20:19:59,-46.1927,168.8643,39.99,93,62,3.0
